scope,path,name,size,mtime,sha1,url_count,post_key_count,read_status,read_note
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\07_final_text_stack_benchmark_20260501.xlsx,07_final_text_stack_benchmark_20260501.xlsx,9977,2026-05-01 03:07:40,d9df54bb10fbf32ac3f0d0a8532997bc1d5c4c62,45,45,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\all_same_media_confidence_gate_validation_20260503_172909.xlsx,all_same_media_confidence_gate_validation_20260503_172909.xlsx,447970,2026-05-03 17:29:27,a4f872dae38d99a8fe92b483be9d324124878b35,665,665,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\alternative_label_sweep_20260501.xlsx,alternative_label_sweep_20260501.xlsx,45974,2026-05-01 02:17:34,f7f3bb08e02c4dcd8c12d1d10da26d05e919941f,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_confidence_gate_best_pairs_20260501.xlsx,copy_only_account_normalized_confidence_gate_best_pairs_20260501.xlsx,8211,2026-05-01 15:08:44,361a3b38e33af6ee13704b6413584af90bc1bd55,54,54,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_confidence_gate_sweep_20260501.xlsx,copy_only_account_normalized_confidence_gate_sweep_20260501.xlsx,338546,2026-05-01 15:08:44,8a4a711e99046ec7444e13bda215cffdacbeb9c9,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_mss_best_pairs_20260501.xlsx,copy_only_account_normalized_mss_best_pairs_20260501.xlsx,10204,2026-05-01 14:48:58,5904e3b7aa4840b3caa077bf3f8c19fc1da1ae47,100,100,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_mss_sweep_20260501.xlsx,copy_only_account_normalized_mss_sweep_20260501.xlsx,179767,2026-05-01 14:48:58,6217c309f204976e749e4a8060cb112b2b9545e1,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_stack_best_pairs_20260501.xlsx,copy_only_account_normalized_stack_best_pairs_20260501.xlsx,6931,2026-05-01 14:59:37,86ae0863443d228d2f89403d76e8a2fc76cf7a0e,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_account_normalized_stack_sweep_20260501.xlsx,copy_only_account_normalized_stack_sweep_20260501.xlsx,37250,2026-05-01 14:59:37,4ca36572e84e8f9dc55a4dc91c35feb31f718f69,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_training_size_focus_20260501.xlsx,copy_only_training_size_focus_20260501.xlsx,17542,2026-05-01 18:46:12,d045861652172a67aaa292fe36690166dabf84e1,0,0,ok,
