scope,file_path,url,post_key
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@33item/post/DSTUyIPk9ct,33item/post/DSTUyIPk9ct
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@789_miinz/post/DVKikFuj-Cu,789_miinz/post/DVKikFuj-Cu
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@8inchacha/post/DUzmRZKiQPn,8inchacha/post/DUzmRZKiQPn
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@96www_0/post/DU0znYyk3Xk,96www_0/post/DU0znYyk3Xk
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@9lready/post/DVLEx5mgbBp,9lready/post/DVLEx5mgbBp
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_._mallang/post/DU3DOv3gfql,_._mallang/post/DU3DOv3gfql
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_0ne.4u/post/DU0XZijEkdO,_0ne.4u/post/DU0XZijEkdO
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_0ne.4u/post/DUz4FMvEli5,_0ne.4u/post/DUz4FMvEli5
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@__.mnono/post/DVKNC82ktRQ,__.mnono/post/DVKNC82ktRQ
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_____hina___no/post/DUfJk2bk0Ti,_____hina___no/post/DUfJk2bk0Ti
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@__phlinh.ne/post/DUhfk9viS6O,__phlinh.ne/post/DUhfk9viS6O
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@__thaodan.w/post/DVKqKxzCWz-,__thaodan.w/post/DVKqKxzCWz-
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_baong0c.iuu28.2/post/DUhoucXEtzw,_baong0c.iuu28.2/post/DUhoucXEtzw
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_buy_2026/post/DUhXv1nkpyU,_buy_2026/post/DUhXv1nkpyU
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_capy_bara__/post/DSfMLMnEwKs,_capy_bara__/post/DSfMLMnEwKs
madoyo,C:\Users\ding9\Desktop\madoyo\embedding_migration\missing_triples_report.xlsx,https://www.threads.com/@_capy_bara__/post/DSfObSmkxJm,_capy_bara__/post/DSfObSmkxJm
